hash,Task,Condition,Order,Start,End,Word,TaskText,ResponseStart,ResponseEnd,ResponseFlag,ResponseLatency,ResponseDuration,isHrValid,isScValid,fHr1,fHr2,fHr3,fHr4,fHr5,fHr6,fHr7,fSc1,fSc2,fSc3,fSc4,fSc5,fSc6
55386,Arithmetic,Low,21,550,565,4,7-3,551.376901,552.078241,1,1.37690099999998,0.701340000000073,1,1,0.0560000000001083,0.693777777777781,0.0220100986923313,0.0261007662723261,0.0377154992310787,1.02883211678829,0.00523231531486651,0.11328351767849,9.87870325819262e-08,1,0.000789669182606106,0.00143163014703819,0.00320579716385085
55386,Arithmetic,Low,22,565,580,7,1+6,566.146294,567.05391,1,1.14629400000001,0.907615999999962,1,1,0.110999999999956,0.755749999999992,0.0451117659660009,0.0391152144311811,0.0484772583049306,0.94155427103407,-0.0758859264156274,0.165096831733391,9.07431332852759e-09,1,-0.00156594056654766,0.000665478234048412,-0.00413264959588832
55386,Arithmetic,High,23,580,595,1,9-3/1-5,582.813429,583.721045,1,2.81342900000004,0.907615999999962,1,1,0.059799999999973,0.710444444444432,0.0232546291687673,0.0274248974473099,0.0377402231208269,1.04011461318055,-0.0170364737588363,1.27812920401497,0.212745911248649,2,0.000889242479479636,-0.00181189911673598,0.00676978619358982
55386,Arithmetic,Low,24,595,610,0,3*0,596.345163,597.252779,1,1.34516299999996,0.907616000000075,1,1,0.0278000000000361,0.735124999999996,0.0105348062563031,0.0140254870045948,0.0193178536442349,0.986824324324367,0.00623688458020415,0.107282302615115,0.240215833931931,0,-0.00271759296577515,-0.00337926954517314,-0.000892163362079009
55386,Arithmetic,High,25,610,625,5,8-10/1+7,613.631128,614.497489,1,3.63112799999999,0.866360999999984,1,1,0.0512000000000398,0.693999999999998,0.0191180542943125,0.0194100489438205,0.0272937323599806,1.0097790655559,0.00572314927615187,2.90080733082063,0.850586041369854,0,0.00643006101087651,0.0145920565460401,0.0308185065809092
55386,Arithmetic,Low,26,625,640,8,10-2,626.502777,627.327883,1,1.50277700000004,0.825106000000005,1,1,0.103099999999961,0.751499999999993,0.0410783224027838,0.0272842183583771,0.0337582804085,0.926923076923056,0.0222751408579914,0.538953943932603,9.13648084965857e-09,0,-0.00146239267623856,-0.00588176290632406,-0.000390387108389907
55386,Arithmetic,Low,27,640,655,3,6-3,641.148404,641.932254,1,1.14840400000003,0.783849999999916,1,1,0.0881999999999721,0.755625000000009,0.0367226574668612,0.0192168081190891,0.0461686157267655,0.922709923664142,-0.0176035783110784,0.622293878488469,6.31882857149435e-09,0,0.000121986533572203,-0.00533649359948161,-0.00377895400908342
55386,Arithmetic,High,28,655,670,7,8-4+6/2,658.970688,659.672027,1,3.970688,0.701338999999962,1,1,0.0621999999999503,0.738124999999997,0.0239609056589987,0.0233880311270291,0.0401748234954343,0.981543624161128,0.0433521468811339,0.336505021393521,1.11326163287906e-08,1,0.00466261983441687,-0.000563088363681561,-0.00405048004897367
55386,Arithmetic,High,29,670,685,5,2+7-1*4,673.533804,674.44142,1,3.53380400000003,0.907615999999962,1,1,0.0211000000000012,0.705375000000004,0.00812293929912457,0.0103854293535446,0.0138605994085296,0.995403111739774,0.00140237649974279,2.36529010792839,0.65869172457795,1,-0.00186485044098729,0.00623237340268093,0.00950636160670424
55386,Arithmetic,High,30,685,700,3,7+2-1*6,687.643112,688.591983,1,2.64311199999997,0.948871000000054,1,1,0.0954000000000406,0.740250000000003,0.0386254912127765,0.025391224580815,0.0419144680412921,0.934030045721751,-0.00192502178280598,0.593647328087826,0.210734239418898,1,0.00245996764989618,0.010232124831122,0.00151241501934076
55386,Arithmetic,Low,31,700,715,1,9-8,701.216101,701.876185,1,1.21610099999998,0.660083999999983,1,1,0.109800000000041,0.726000000000012,0.0445813862503375,0.0278724774643524,0.0371919479472098,1.10850418712106,0.0269607364636132,0.785670627340253,0.313794218780541,1,-0.00162657117329792,-0.00390965610717638,0.0165476308636113
55386,Arithmetic,Low,32,715,730,5,1+4,716.026749,717.099386,1,1.026749,1.07263699999999,1,1,0.125799999999992,0.738249999999994,0.0521090888699543,0.0358369322666367,0.0452923632871248,1.10627674750357,-0.0425719761247083,0.462673922609184,0.271024577813702,0,0.0037903126397037,0.00163943970751653,0.00965763140318698
55386,Arithmetic,Low,33,730,745,9,3+6,731.662502,732.487608,1,1.66250200000002,0.825106000000005,1,1,0.10799999999997,0.698555555555547,0.0416086262423802,0.0473352405719237,0.0633863467990784,1.01672916065768,0.0313568292468077,0.70637581584319,0.290764322022162,0,-0.00340352027766214,-0.00546402891477964,0.00648344281394007
55386,Arithmetic,High,34,745,760,3,3*4-1-8,748.329638,748.907212,1,3.32963800000005,0.577573999999913,1,1,0.0160000000000309,0.732333333333334,0.00692820323028603,0.00827647267866123,0.0110157348968299,1.00842927631578,0.00528548016840367,2.49999573528985,0.71026957442344,1,0.00943128712958489,0.0198015276386519,0.00902944631326649
55386,Arithmetic,High,35,760,775,2,3*2+1-5,763.01652,763.676604,1,3.01652000000001,0.660083999999983,1,1,0.0611999999999624,0.737777777777776,0.0253267535314763,0.0245356882927736,0.0310949828100337,0.956033057851249,-0.0365963414961834,0.198653767183688,0.153285075097658,1,-0.00424148236432537,0.00124442545052213,-0.00351607275888455
